ApvDescFam,apvProfesion
,NUTRICION 
,EMPLADO
,MEDICO ESPECIALISTA
,MEDICO GENERAL
,LIC.INFORMATICA Y ESTADISTICA
,PLOMERO
,JUBILADA
,PROFESORA
,INGENIERO EN SISTEMAS COMPUTACIONALES
,PROFESORA 
,LAMINERO
,ASESORA
,PRODUCTOR
,RECURSOS HUMANOS
,TAXISTA
,TECNICO EN INFORMATICA
,LIC. ECONOMIA
,LIC. EN ADMINISTRACION 
,MEDICO GENETISTA
,REPOSTERO
,DERECHO
,EMPRENDEDORA 
,ASESOR 
,ADMINISTRADOR 
,DOCENTE 
,GINECOLOGA
,OBRERA
,ING. EN SOFTWARE
,GINECOLOGO
,TRABAJADORA SOCIAL
,COCINA
,ING. ELECTRONICO
,QUIMICA FARMACEUTICA BIOLOGA
,PENSIONADA
,MAESTRA DE INGLES
,MAESTRA
,LIC. EN NUTRICION
,QUIMICO FARMACEUTICO-BIOLOGO
,NOTARIO
,ADMINISTRACION FINANCIERA
,LIC. EDUCACION
,L.A.E.
,SOLDADOR
,LIC. TRABAJO SOCIAL
,NOTARIO PUBLICO
,LIC. EN EDUCACION PREESCOLAR
,CATEDRATICO
,PREFECTO
,ARTESANO
,TECNICO EN ELECTRONICA
,ING INDUSTRIAL 
,VENTAS 
,TERAPEUTA
,REPARTIDOR
,DISEÑO DE INTERIORES
,ORTODONCISTA
,DOCENCIA
,DIBUJANTE
,MECANICO AUTOMOTRIZ
,LIC. EN PSICOLOGIA 
,SECETARIA ADMVA
,BACHILLERATO
,COMERCIANTE 
,DISEÑADORA DE INTERIORES
,OBRERO 
,MEDICO 
,DOCTOR 
,ENFERMERA  
,ADMINISTRACION DE EMPRESAS
,ABOGADO 
,PROFESOR 
,NEGOCIO PROPIO 
,JUBILADO 
,ASISTENTE 
,EMPRESARIO  
,EMPRENDEDOR 
,CARDIOLOGO
,COMERCIENTE 
,PROPIETARIO
,CONSTRUCTOR
,HOGAR 
,LAMINERO 
,BAILARIN PROFESIONAL
,ABOGADA 
,QUIMICO 
,DISEÑADOR GRAFICO
,INGENIRO
,MEDICO FAMILIAR
,ING. PETROLERO
,PEDAGOGA 
,EMPELADO 
,MENSAJERO
,ING. EN SISTEMAS
,LIC. EN NEGOCIOS  INTERNACIONALES
,INEGENIERO 
,COMUNICACION 
,MECANICA
,RETIRADA
,AUX. CONTABLE
,PANADERO
,ALBAÑIL 
,INGENIERO AGRONOMO 
,PROFESOR INVESTIGADOR
,AGRONOMIA
,MESERA
,GANADERO 
,AGENTE 
,AYUDANTE GENERAL
,EMPLEADO DE GOBIERNO
,DIRECTOR 
,VICERRECTOR
,MAESTRO 
,DISEÑADORA 
,QUIMICA
,OPERADOR 
,TURISMO
,LIC. EN EDUCACION ESPECIAL
,AUDITOR 
,MEDICO FORENSE
,LIC. GASTRONOMIA
,INGENIERA 
,ALUMINIERO
,DEMOSTRADORA
,TOPOGRAFO
,ADMINISTRACION 
,LIC. RELACIONES COMERCIALES
,VELADOR
,BIBLIOTECARIO
,JUBILADA 
,ING. AMBIENTAL
,PRENSISTA
,AFANADORA 
,GESTOR 
,PUERICULTURA
,LIC. CIENCIAS DE LA COMUNICACION
,SOLDADO
,LIC. ENFERMERIA
